[rosmaster.main][INFO] 2025-10-03 15:15:30,504: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 15:15:30,504: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 15:15:30,505: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 15:15:30,505: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 15:15:30,505: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 15:15:30,505: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 15:15:30,529: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:15:30,529: +PARAM [/roslaunch/uris/host_127_0_0_1__38175] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:15:30,572: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:15:30,572: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:15:30,572: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:15:30,582: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:36553/
[rosmaster.master][INFO] 2025-10-03 15:15:30,583: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:36553/
[rosmaster.master][INFO] 2025-10-03 15:15:30,584: +SUB [/clock] /rosout http://127.0.0.1:36553/
[rosmaster.master][INFO] 2025-10-03 15:15:30,585: +PUB [/rosout_agg] /rosout http://127.0.0.1:36553/
[rosmaster.master][INFO] 2025-10-03 15:15:30,586: +SUB [/rosout] /rosout http://127.0.0.1:36553/
[rosmaster.master][INFO] 2025-10-03 15:15:30,988: +PUB [/rosout] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:30,988: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:30,988: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:30,990: +SUB [/clock] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:30,991: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,005: publisherUpdate[/rosout] -> http://127.0.0.1:36553/ ['http://127.0.0.1:36227/']
[rosmaster.master][INFO] 2025-10-03 15:15:31,022: publisherUpdate[/rosout] -> http://127.0.0.1:36553/ ['http://127.0.0.1:36227/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 15:15:31,307: +PUB [/clock] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,307: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,308: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,308: +SERVICE [/gazebo/delete_model] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,308: +SERVICE [/gazebo/delete_light] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,308: +SERVICE [/gazebo/get_model_properties] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,309: +SERVICE [/gazebo/get_model_state] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,309: +SERVICE [/gazebo/get_world_properties] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,309: +SERVICE [/gazebo/get_joint_properties] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,309: +SERVICE [/gazebo/get_link_properties] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,310: +SERVICE [/gazebo/get_link_state] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,310: +SERVICE [/gazebo/get_light_properties] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,310: +SERVICE [/gazebo/set_light_properties] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,311: +SERVICE [/gazebo/get_physics_properties] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,311: +PUB [/gazebo/link_states] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,311: +PUB [/gazebo/model_states] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,311: +SERVICE [/gazebo/set_link_properties] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,311: +SERVICE [/gazebo/set_physics_properties] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,312: +SERVICE [/gazebo/set_model_state] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,312: +SERVICE [/gazebo/set_model_configuration] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,312: +SERVICE [/gazebo/set_joint_properties] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,312: +SERVICE [/gazebo/set_link_state] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,313: +SUB [/gazebo/set_link_state] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,315: +SUB [/gazebo/set_model_state] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,315: +SERVICE [/gazebo/pause_physics] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,315: +SERVICE [/gazebo/unpause_physics] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,315: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,316: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,316: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,316: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,316: +SERVICE [/gazebo/reset_simulation] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,316: +SERVICE [/gazebo/reset_world] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,323: publisherUpdate[/clock] -> http://127.0.0.1:36553/ ['http://127.0.0.1:36227/']
[rosmaster.master][INFO] 2025-10-03 15:15:31,324: publisherUpdate[/clock] -> http://127.0.0.1:36553/ ['http://127.0.0.1:36227/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 15:15:31,324: publisherUpdate[/clock] -> http://127.0.0.1:36227/ ['http://127.0.0.1:36227/']
[rosmaster.master][INFO] 2025-10-03 15:15:31,328: +SERVICE [/gazebo/set_parameters] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,328: +PUB [/gazebo/parameter_descriptions] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,328: +PUB [/gazebo/parameter_updates] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:15:31,330: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-10-03 15:15:31,332: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,333: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,333: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,333: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,333: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,334: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,334: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,334: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,334: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,335: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,335: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,335: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,335: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,336: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,336: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,342: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,342: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,343: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,343: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,343: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,343: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,343: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,344: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,344: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,344: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,345: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,345: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,345: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,345: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,346: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:15:31,355: publisherUpdate[/clock] -> http://127.0.0.1:36227/ ['http://127.0.0.1:36227/']: sec=0.03, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 15:20:00,532: -SUB [/gazebo/set_link_state] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:20:00,534: -SUB [/gazebo/set_model_state] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:20:00,536: -PUB [/clock] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:20:00,536: publisherUpdate[/clock] -> http://127.0.0.1:36553/ []
[rosmaster.master][INFO] 2025-10-03 15:20:00,538: -PUB [/gazebo/link_states] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:20:00,538: publisherUpdate[/clock] -> http://127.0.0.1:36227/ []
[rosmaster.master][INFO] 2025-10-03 15:20:00,540: -PUB [/gazebo/model_states] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:20:00,542: -SERVICE [/gazebo/spawn_sdf_model] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,544: -SERVICE [/gazebo/spawn_urdf_model] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,545: -SERVICE [/gazebo/delete_model] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,546: -SERVICE [/gazebo/delete_light] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,548: -SERVICE [/gazebo/get_model_properties] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,549: -SERVICE [/gazebo/get_model_state] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,550: -SERVICE [/gazebo/get_world_properties] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,551: -SERVICE [/gazebo/get_joint_properties] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,553: -SERVICE [/gazebo/get_link_properties] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,554: -SERVICE [/gazebo/get_link_state] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,555: -SERVICE [/gazebo/get_light_properties] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,556: -SERVICE [/gazebo/set_light_properties] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,558: -SERVICE [/gazebo/get_physics_properties] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,559: -SERVICE [/gazebo/set_link_properties] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,561: -SERVICE [/gazebo/set_physics_properties] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,562: -SERVICE [/gazebo/set_model_state] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,563: -SERVICE [/gazebo/set_model_configuration] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,564: -SERVICE [/gazebo/set_joint_properties] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,565: -SERVICE [/gazebo/set_link_state] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,566: -SERVICE [/gazebo/pause_physics] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,566: -SERVICE [/gazebo/unpause_physics] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,567: -SERVICE [/gazebo/apply_body_wrench] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,568: -SERVICE [/gazebo/apply_joint_effort] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,569: -SERVICE [/gazebo/clear_joint_forces] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,569: -SERVICE [/gazebo/clear_body_wrenches] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,570: -SERVICE [/gazebo/reset_simulation] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,571: -SERVICE [/gazebo/reset_world] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,572: -PUB [/gazebo/parameter_descriptions] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:20:00,572: -PUB [/gazebo/parameter_updates] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:20:00,573: -SERVICE [/gazebo/set_parameters] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,584: publisherUpdate[/clock] -> http://127.0.0.1:36553/ []: sec=0.05, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 15:20:00,584: publisherUpdate[/clock] -> http://127.0.0.1:36227/ []: sec=0.04, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 15:20:00,686: -PUB [/rosout] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:20:00,687: -SUB [/clock] /gazebo http://127.0.0.1:36227/
[rosmaster.master][INFO] 2025-10-03 15:20:00,689: -SERVICE [/gazebo/get_loggers] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,690: -SERVICE [/gazebo/set_logger_level] /gazebo rosrpc://127.0.0.1:39589
[rosmaster.master][INFO] 2025-10-03 15:20:00,691: -CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:20:00,720: publisherUpdate[/rosout] -> http://127.0.0.1:36553/ []
[rosmaster.master][INFO] 2025-10-03 15:20:00,722: publisherUpdate[/rosout] -> http://127.0.0.1:36553/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 15:20:01,022: -PUB [/rosout_agg] /rosout http://127.0.0.1:36553/
[rosmaster.master][INFO] 2025-10-03 15:20:01,022: -SUB [/clock] /rosout http://127.0.0.1:36553/
[rosmaster.master][INFO] 2025-10-03 15:20:01,023: -SUB [/rosout] /rosout http://127.0.0.1:36553/
[rosmaster.master][INFO] 2025-10-03 15:20:01,023: -SERVICE [/rosout/get_loggers] /rosout rosrpc://127.0.0.1:58941
[rosmaster.master][INFO] 2025-10-03 15:20:01,023: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://127.0.0.1:58941
[rosmaster.master][INFO] 2025-10-03 15:20:01,024: -CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.main][INFO] 2025-10-03 15:20:01,134: keyboard interrupt, will exit
[rosmaster.main][INFO] 2025-10-03 15:20:01,134: stopping master...
[rospy.core][INFO] 2025-10-03 15:20:01,134: signal_shutdown [atexit]
