[rosmaster.main][INFO] 2025-10-03 13:35:30,239: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 13:35:30,239: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 13:35:30,240: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 13:35:30,240: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 13:35:30,240: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 13:35:30,240: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 13:35:30,265: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,266: +PARAM [/roslaunch/uris/host_127_0_0_1__34663] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,337: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,337: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,337: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,337: +PARAM [/pal_robot_info/type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,337: +PARAM [/pal_robot_info/end_effector] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,338: +PARAM [/pal_robot_info/ft_sensor] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,338: +PARAM [/pal_robot_info/laser_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,338: +PARAM [/pal_robot_info/camera_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,338: +PARAM [/pal_robot_info/base_type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,338: +PARAM [/pal_robot_info/arm] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,338: +PARAM [/gains/suspension_left_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,338: +PARAM [/gains/suspension_left_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 13:35:30,338: +PARAM [/gains/suspension_left_joint/i] by /roslaunch
