[rosmaster.main][INFO] 2025-10-03 16:06:16,551: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 16:06:16,551: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 16:06:16,552: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 16:06:16,552: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 16:06:16,552: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 16:06:16,552: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 16:06:16,574: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:06:16,575: +PARAM [/roslaunch/uris/host_127_0_0_1__33347] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:06:16,643: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:06:16,643: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:06:16,643: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:06:16,653: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:35363/
[rosmaster.master][INFO] 2025-10-03 16:06:16,654: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:35363/
[rosmaster.master][INFO] 2025-10-03 16:06:16,656: +SUB [/clock] /rosout http://127.0.0.1:35363/
[rosmaster.master][INFO] 2025-10-03 16:06:16,656: +PUB [/rosout_agg] /rosout http://127.0.0.1:35363/
[rosmaster.master][INFO] 2025-10-03 16:06:16,657: +SUB [/rosout] /rosout http://127.0.0.1:35363/
[rosmaster.master][INFO] 2025-10-03 16:06:17,057: +PUB [/rosout] /gazebo http://127.0.0.1:40081/
[rosmaster.master][INFO] 2025-10-03 16:06:17,057: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:40081/
[rosmaster.master][INFO] 2025-10-03 16:06:17,058: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:40081/
[rosmaster.master][INFO] 2025-10-03 16:06:17,059: +SUB [/clock] /gazebo http://127.0.0.1:40081/
[rosmaster.master][INFO] 2025-10-03 16:06:17,060: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2025-10-03 16:06:17,152: publisherUpdate[/rosout] -> http://127.0.0.1:35363/ ['http://127.0.0.1:40081/']
