[rosmaster.main][INFO] 2025-10-03 17:25:21,295: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 17:25:21,295: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 17:25:21,296: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 17:25:21,296: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 17:25:21,296: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 17:25:21,296: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 17:25:21,322: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:25:21,324: +PARAM [/roslaunch/uris/host_127_0_0_1__35861] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:25:21,414: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:44093/
[rosmaster.master][INFO] 2025-10-03 17:25:21,419: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:44093/
[rosmaster.master][INFO] 2025-10-03 17:25:21,426: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:25:21,426: +PUB [/rosout_agg] /rosout http://127.0.0.1:44093/
[rosmaster.master][INFO] 2025-10-03 17:25:21,426: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:25:21,427: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:25:21,427: +PARAM [/pal_robot_info/type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:25:21,428: +SUB [/rosout] /rosout http://127.0.0.1:44093/
[rosmaster.master][INFO] 2025-10-03 17:25:21,428: +PARAM [/pal_robot_info/end_effector] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:25:21,428: +PARAM [/pal_robot_info/ft_sensor] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:25:21,428: +PARAM [/pal_robot_info/laser_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:25:21,428: +PARAM [/pal_robot_info/camera_model] by /roslaunch
