[rosmaster.main][INFO] 2025-10-03 16:42:25,711: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 16:42:25,711: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 16:42:25,712: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 16:42:25,712: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 16:42:25,712: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 16:42:25,712: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 16:42:25,735: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:42:25,736: +PARAM [/roslaunch/uris/host_127_0_0_1__37365] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:42:25,779: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:42:25,779: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:42:25,779: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:42:25,789: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:41521/
[rosmaster.master][INFO] 2025-10-03 16:42:25,789: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:41521/
[rosmaster.master][INFO] 2025-10-03 16:42:25,791: +SUB [/clock] /rosout http://127.0.0.1:41521/
[rosmaster.master][INFO] 2025-10-03 16:42:25,791: +PUB [/rosout_agg] /rosout http://127.0.0.1:41521/
[rosmaster.master][INFO] 2025-10-03 16:42:25,792: +SUB [/rosout] /rosout http://127.0.0.1:41521/
[rosmaster.master][INFO] 2025-10-03 16:42:26,187: +PUB [/rosout] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,187: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,187: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,189: +SUB [/clock] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,190: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2025-10-03 16:42:26,213: publisherUpdate[/rosout] -> http://127.0.0.1:41521/ ['http://127.0.0.1:40833/']
[rosmaster.master][INFO] 2025-10-03 16:42:26,228: publisherUpdate[/rosout] -> http://127.0.0.1:41521/ ['http://127.0.0.1:40833/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 16:42:26,505: +PUB [/clock] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,505: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,506: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,506: +SERVICE [/gazebo/delete_model] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,506: +SERVICE [/gazebo/delete_light] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,506: +SERVICE [/gazebo/get_model_properties] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,507: +SERVICE [/gazebo/get_model_state] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,507: +SERVICE [/gazebo/get_world_properties] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,507: +SERVICE [/gazebo/get_joint_properties] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,507: +SERVICE [/gazebo/get_link_properties] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,508: +SERVICE [/gazebo/get_link_state] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,508: +SERVICE [/gazebo/get_light_properties] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,508: +SERVICE [/gazebo/set_light_properties] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,508: +SERVICE [/gazebo/get_physics_properties] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,509: +PUB [/gazebo/link_states] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,509: +PUB [/gazebo/model_states] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,509: +SERVICE [/gazebo/set_link_properties] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,509: +SERVICE [/gazebo/set_physics_properties] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,510: +SERVICE [/gazebo/set_model_state] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,510: +SERVICE [/gazebo/set_model_configuration] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,510: +SERVICE [/gazebo/set_joint_properties] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,510: +SERVICE [/gazebo/set_link_state] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,512: +SUB [/gazebo/set_link_state] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,513: +SUB [/gazebo/set_model_state] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,513: +SERVICE [/gazebo/pause_physics] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,514: +SERVICE [/gazebo/unpause_physics] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,514: publisherUpdate[/clock] -> http://127.0.0.1:41521/ ['http://127.0.0.1:40833/']
[rosmaster.master][INFO] 2025-10-03 16:42:26,514: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,514: publisherUpdate[/clock] -> http://127.0.0.1:40833/ ['http://127.0.0.1:40833/']
[rosmaster.master][INFO] 2025-10-03 16:42:26,514: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,515: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,515: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,515: +SERVICE [/gazebo/reset_simulation] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,516: +SERVICE [/gazebo/reset_world] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,524: +SERVICE [/gazebo/set_parameters] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,524: +PUB [/gazebo/parameter_descriptions] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,525: +PUB [/gazebo/parameter_updates] /gazebo http://127.0.0.1:40833/
[rosmaster.master][INFO] 2025-10-03 16:42:26,526: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-10-03 16:42:26,528: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2025-10-03 16:42:26,528: +PARAM [/gazebo/max_update_rate] by /gazebo
