[rosmaster.main][INFO] 2025-10-11 17:08:46,236: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-11 17:08:46,236: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-11 17:08:46,237: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-11 17:08:46,237: Started XML-RPC server [http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-11 17:08:46,238: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-11 17:08:46,238: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-11 17:08:46,246: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-11 17:08:46,247: +PARAM [/roslaunch/uris/host_127_0_0_1__32783] by /roslaunch
[rosmaster.master][INFO] 2025-10-11 17:08:46,333: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-11 17:08:46,334: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-11 17:08:46,348: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:32987/
[rosmaster.master][INFO] 2025-10-11 17:08:46,348: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:32987/
[rosmaster.master][INFO] 2025-10-11 17:08:46,349: +PUB [/rosout_agg] /rosout http://127.0.0.1:32987/
[rosmaster.master][INFO] 2025-10-11 17:08:46,351: +SUB [/rosout] /rosout http://127.0.0.1:32987/
[rosmaster.master][INFO] 2025-10-11 17:13:38,882: +PARAM [/roslaunch/uris/host_127_0_0_1__37081] by /roslaunch
[rosmaster.master][INFO] 2025-10-11 17:13:38,885: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-11 17:13:38,886: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-11 17:13:38,886: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-11 17:13:39,590: +PUB [/rosout] /gazebo http://127.0.0.1:36389/
[rosmaster.master][INFO] 2025-10-11 17:13:39,590: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:36389/
[rosmaster.master][INFO] 2025-10-11 17:13:39,591: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:36389/
[rosmaster.master][INFO] 2025-10-11 17:13:39,594: +SUB [/clock] /gazebo http://127.0.0.1:36389/
[rosmaster.master][INFO] 2025-10-11 17:13:39,596: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2025-10-11 17:13:39,638: publisherUpdate[/rosout] -> http://127.0.0.1:32987/ ['http://127.0.0.1:36389/']
[rosmaster.master][INFO] 2025-10-11 17:13:39,664: publisherUpdate[/rosout] -> http://127.0.0.1:32987/ ['http://127.0.0.1:36389/']: sec=0.03, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-11 17:13:39,872: +PUB [/clock] /gazebo http://127.0.0.1:36389/
[rosmaster.master][INFO] 2025-10-11 17:13:39,872: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://127.0.0.1:36389/
[rosmaster.master][INFO] 2025-10-11 17:13:39,873: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://127.0.0.1:36389/
[rosmaster.master][INFO] 2025-10-11 17:13:39,873: +SERVICE [/gazebo/delete_model] /gazebo http://127.0.0.1:36389/
[rosmaster.master][INFO] 2025-10-11 17:13:39,874: +SERVICE [/gazebo/delete_light] /gazebo http://127.0.0.1:36389/
[rosmaster.master][INFO] 2025-10-11 17:13:39,874: +SERVICE [/gazebo/get_model_properties] /gazebo http://127.0.0.1:36389/
[rosmaster.master][INFO] 2025-10-11 17:13:39,875: +SERVICE [/gazebo/get_model_state] /gazebo http://127.0.0.1:36389/
[rosmaster.master][INFO] 2025-10-11 17:13:39,875: +SERVICE [/gazebo/get_world_properties] /gazebo http://127.0.0.1:36389/
