[rosmaster.main][INFO] 2025-10-03 17:39:57,140: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 17:39:57,140: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 17:39:57,141: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 17:39:57,141: Started XML-RPC server [http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 17:39:57,141: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 17:39:57,141: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 17:39:57,169: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,170: +PARAM [/roslaunch/uris/host_127_0_0_1__43675] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,243: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:42923/
[rosmaster.master][INFO] 2025-10-03 17:39:57,249: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:42923/
[rosmaster.master][INFO] 2025-10-03 17:39:57,260: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,260: +PUB [/rosout_agg] /rosout http://127.0.0.1:42923/
[rosmaster.master][INFO] 2025-10-03 17:39:57,260: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,260: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,260: +PARAM [/pal_robot_info/type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,261: +PARAM [/pal_robot_info/end_effector] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,261: +PARAM [/pal_robot_info/ft_sensor] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,261: +PARAM [/pal_robot_info/laser_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,261: +PARAM [/pal_robot_info/camera_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,261: +PARAM [/pal_robot_info/base_type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,261: +PARAM [/pal_robot_info/arm] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/suspension_left_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +SUB [/rosout] /rosout http://127.0.0.1:42923/
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/suspension_left_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/suspension_left_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/suspension_left_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/suspension_right_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/suspension_right_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/suspension_right_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/suspension_right_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/torso_lift_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/torso_lift_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/torso_lift_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/torso_lift_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/head_1_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,262: +PARAM [/gains/head_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,263: +PARAM [/gains/head_1_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,263: +PARAM [/gains/head_1_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,263: +PARAM [/gains/head_2_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,263: +PARAM [/gains/head_2_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,263: +PARAM [/gains/head_2_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,263: +PARAM [/gains/head_2_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,263: +PARAM [/gains/xtion_frame_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,263: +PARAM [/gains/xtion_frame_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:39:57,263: +PARAM [/gains/xtion_frame_joint/i] by /roslaunch
