[rosmaster.main][INFO] 2025-10-03 15:02:33,706: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 15:02:33,706: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 15:02:33,706: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 15:02:33,707: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 15:02:33,707: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 15:02:33,707: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 15:02:33,725: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:02:33,725: +PARAM [/roslaunch/uris/host_127_0_0_1__41371] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:02:33,769: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:02:33,770: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:02:33,770: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:02:33,781: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:44527/
[rosmaster.master][INFO] 2025-10-03 15:02:33,781: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:44527/
[rosmaster.master][INFO] 2025-10-03 15:02:33,783: +SUB [/clock] /rosout http://127.0.0.1:44527/
[rosmaster.master][INFO] 2025-10-03 15:02:33,783: +PUB [/rosout_agg] /rosout http://127.0.0.1:44527/
[rosmaster.master][INFO] 2025-10-03 15:02:33,784: +SUB [/rosout] /rosout http://127.0.0.1:44527/
[rosmaster.master][INFO] 2025-10-03 15:02:34,188: +PUB [/rosout] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,188: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,189: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,190: +SUB [/clock] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,192: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:02:34,207: publisherUpdate[/rosout] -> http://127.0.0.1:44527/ ['http://127.0.0.1:41357/']
[rosmaster.master][INFO] 2025-10-03 15:02:34,224: publisherUpdate[/rosout] -> http://127.0.0.1:44527/ ['http://127.0.0.1:41357/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 15:02:34,499: +PUB [/clock] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,499: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,500: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,500: +SERVICE [/gazebo/delete_model] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,500: +SERVICE [/gazebo/delete_light] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,501: +SERVICE [/gazebo/get_model_properties] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,501: +SERVICE [/gazebo/get_model_state] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,501: +SERVICE [/gazebo/get_world_properties] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,501: +SERVICE [/gazebo/get_joint_properties] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,502: +SERVICE [/gazebo/get_link_properties] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,502: +SERVICE [/gazebo/get_link_state] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,502: +SERVICE [/gazebo/get_light_properties] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,503: +SERVICE [/gazebo/set_light_properties] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,503: +SERVICE [/gazebo/get_physics_properties] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,503: +PUB [/gazebo/link_states] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,504: +PUB [/gazebo/model_states] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,504: +SERVICE [/gazebo/set_link_properties] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,504: +SERVICE [/gazebo/set_physics_properties] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,504: +SERVICE [/gazebo/set_model_state] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,505: +SERVICE [/gazebo/set_model_configuration] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,505: +SERVICE [/gazebo/set_joint_properties] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,505: +SERVICE [/gazebo/set_link_state] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,506: +SUB [/gazebo/set_link_state] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,507: +SUB [/gazebo/set_model_state] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,508: +SERVICE [/gazebo/pause_physics] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,508: +SERVICE [/gazebo/unpause_physics] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,508: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,508: publisherUpdate[/clock] -> http://127.0.0.1:44527/ ['http://127.0.0.1:41357/']
[rosmaster.master][INFO] 2025-10-03 15:02:34,509: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,509: publisherUpdate[/clock] -> http://127.0.0.1:41357/ ['http://127.0.0.1:41357/']
[rosmaster.master][INFO] 2025-10-03 15:02:34,509: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,510: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,510: +SERVICE [/gazebo/reset_simulation] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,510: +SERVICE [/gazebo/reset_world] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,526: publisherUpdate[/clock] -> http://127.0.0.1:44527/ ['http://127.0.0.1:41357/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 15:02:34,528: +SERVICE [/gazebo/set_parameters] /gazebo http://127.0.0.1:41357/
[rosmaster.master][INFO] 2025-10-03 15:02:34,528: +PUB [/gazebo/parameter_descriptions] /gazebo http://127.0.0.1:41357/
