[rosmaster.main][INFO] 2025-10-03 15:39:15,394: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 15:39:15,394: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 15:39:15,395: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 15:39:15,395: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 15:39:15,395: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 15:39:15,395: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 15:39:15,420: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:39:15,422: +PARAM [/roslaunch/uris/host_127_0_0_1__41697] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:39:15,502: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:39:15,502: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:39:15,502: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:39:15,513: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:41205/
[rosmaster.master][INFO] 2025-10-03 15:39:15,513: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:41205/
[rosmaster.master][INFO] 2025-10-03 15:39:15,515: +SUB [/clock] /rosout http://127.0.0.1:41205/
[rosmaster.master][INFO] 2025-10-03 15:39:15,515: +PUB [/rosout_agg] /rosout http://127.0.0.1:41205/
[rosmaster.master][INFO] 2025-10-03 15:39:15,516: +SUB [/rosout] /rosout http://127.0.0.1:41205/
[rosmaster.master][INFO] 2025-10-03 15:39:15,923: +PUB [/rosout] /gazebo http://127.0.0.1:34689/
[rosmaster.master][INFO] 2025-10-03 15:39:15,924: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:34689/
[rosmaster.master][INFO] 2025-10-03 15:39:15,924: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:34689/
[rosmaster.master][INFO] 2025-10-03 15:39:15,926: +SUB [/clock] /gazebo http://127.0.0.1:34689/
[rosmaster.master][INFO] 2025-10-03 15:39:15,927: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:39:15,995: publisherUpdate[/rosout] -> http://127.0.0.1:41205/ ['http://127.0.0.1:34689/']
[rosmaster.master][INFO] 2025-10-03 15:39:16,012: publisherUpdate[/rosout] -> http://127.0.0.1:41205/ ['http://127.0.0.1:34689/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 15:39:16,245: +PUB [/clock] /gazebo http://127.0.0.1:34689/
[rosmaster.master][INFO] 2025-10-03 15:39:16,245: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://127.0.0.1:34689/
[rosmaster.master][INFO] 2025-10-03 15:39:16,246: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://127.0.0.1:34689/
[rosmaster.master][INFO] 2025-10-03 15:39:16,246: +SERVICE [/gazebo/delete_model] /gazebo http://127.0.0.1:34689/
[rosmaster.master][INFO] 2025-10-03 15:39:16,246: +SERVICE [/gazebo/delete_light] /gazebo http://127.0.0.1:34689/
[rosmaster.master][INFO] 2025-10-03 15:39:16,246: +SERVICE [/gazebo/get_model_properties] /gazebo http://127.0.0.1:34689/
