[rosmaster.main][INFO] 2025-11-09 15:50:05,915: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-11-09 15:50:05,915: Starting ROS Master Node
[xmlrpc][INFO] 2025-11-09 15:50:05,916: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-11-09 15:50:05,916: Started XML-RPC server [http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-11-09 15:50:05,916: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-11-09 15:50:05,917: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-11-09 15:50:05,976: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:05,978: +PARAM [/roslaunch/uris/host_127_0_0_1__32907] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,127: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:34595/
[rosmaster.master][INFO] 2025-11-09 15:50:06,132: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:34595/
[rosmaster.master][INFO] 2025-11-09 15:50:06,136: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,136: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,136: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,136: +PARAM [/pal_robot_info/type] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,137: +PARAM [/pal_robot_info/end_effector] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,137: +PARAM [/pal_robot_info/ft_sensor] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,137: +PARAM [/pal_robot_info/laser_model] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,137: +PARAM [/pal_robot_info/camera_model] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,138: +PARAM [/pal_robot_info/base_type] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,138: +PARAM [/pal_robot_info/arm] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,139: +PARAM [/gains/suspension_left_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,139: +PARAM [/gains/suspension_left_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,139: +PARAM [/gains/suspension_left_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,140: +PARAM [/gains/suspension_left_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,140: +SUB [/clock] /rosout http://127.0.0.1:34595/
[rosmaster.master][INFO] 2025-11-09 15:50:06,140: +PARAM [/gains/suspension_right_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,141: +PARAM [/gains/suspension_right_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,141: +PARAM [/gains/suspension_right_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,141: +PARAM [/gains/suspension_right_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,141: +PUB [/rosout_agg] /rosout http://127.0.0.1:34595/
[rosmaster.master][INFO] 2025-11-09 15:50:06,141: +PARAM [/gains/torso_lift_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,142: +PARAM [/gains/torso_lift_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,142: +PARAM [/gains/torso_lift_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,143: +PARAM [/gains/torso_lift_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,143: +PARAM [/gains/head_1_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,144: +PARAM [/gains/head_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,144: +PARAM [/gains/head_1_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,144: +SUB [/rosout] /rosout http://127.0.0.1:34595/
[rosmaster.master][INFO] 2025-11-09 15:50:06,144: +PARAM [/gains/head_1_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,144: +PARAM [/gains/head_2_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-11-09 15:50:06,144: +PARAM [/gains/head_2_joint/d] by /roslaunch
