[rosmaster.main][INFO] 2025-10-03 18:09:46,471: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 18:09:46,471: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 18:09:46,472: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 18:09:46,472: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 18:09:46,472: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 18:09:46,472: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 18:09:46,500: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,501: +PARAM [/roslaunch/uris/host_127_0_0_1__33177] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,572: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,572: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/pal_robot_info/type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/pal_robot_info/end_effector] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/pal_robot_info/ft_sensor] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/pal_robot_info/laser_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/pal_robot_info/camera_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/pal_robot_info/base_type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/pal_robot_info/arm] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/gains/suspension_left_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/gains/suspension_left_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/gains/suspension_left_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/gains/suspension_left_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/gains/suspension_right_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 18:09:46,573: +PARAM [/gains/suspension_right_joint/d] by /roslaunch
