[rosmaster.main][INFO] 2025-10-03 17:26:56,895: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 17:26:56,895: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 17:26:56,895: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 17:26:56,895: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 17:26:56,896: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 17:26:56,896: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 17:26:56,923: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:56,925: +PARAM [/roslaunch/uris/host_127_0_0_1__37655] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,021: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:42943/
[rosmaster.master][INFO] 2025-10-03 17:26:57,031: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:42943/
[rosmaster.master][INFO] 2025-10-03 17:26:57,033: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,033: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,034: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,034: +PARAM [/pal_robot_info/type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,034: +PARAM [/pal_robot_info/end_effector] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,034: +PARAM [/pal_robot_info/ft_sensor] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,034: +PARAM [/pal_robot_info/laser_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,034: +PARAM [/pal_robot_info/camera_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,034: +PARAM [/pal_robot_info/base_type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,034: +PUB [/rosout_agg] /rosout http://127.0.0.1:42943/
[rosmaster.master][INFO] 2025-10-03 17:26:57,034: +PARAM [/pal_robot_info/arm] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,034: +PARAM [/gains/suspension_left_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,034: +PARAM [/gains/suspension_left_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,035: +PARAM [/gains/suspension_left_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,035: +PARAM [/gains/suspension_left_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,035: +PARAM [/gains/suspension_right_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,035: +PARAM [/gains/suspension_right_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:26:57,036: +SUB [/rosout] /rosout http://127.0.0.1:42943/
[rosmaster.master][INFO] 2025-10-03 17:26:57,036: +PARAM [/gains/suspension_right_joint/i] by /roslaunch
