[rosmaster.main][INFO] 2025-10-03 16:08:14,688: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 16:08:14,688: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 16:08:14,689: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 16:08:14,689: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 16:08:14,689: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 16:08:14,689: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 16:08:14,709: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:08:14,710: +PARAM [/roslaunch/uris/host_127_0_0_1__34331] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:08:14,752: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:08:14,752: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:08:14,752: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:08:14,762: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:39587/
[rosmaster.master][INFO] 2025-10-03 16:08:14,763: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:39587/
[rosmaster.master][INFO] 2025-10-03 16:08:14,764: +SUB [/clock] /rosout http://127.0.0.1:39587/
[rosmaster.master][INFO] 2025-10-03 16:08:14,764: +PUB [/rosout_agg] /rosout http://127.0.0.1:39587/
[rosmaster.master][INFO] 2025-10-03 16:08:14,765: +SUB [/rosout] /rosout http://127.0.0.1:39587/
[rosmaster.master][INFO] 2025-10-03 16:08:15,165: +PUB [/rosout] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,166: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,166: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,168: +SUB [/clock] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,169: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2025-10-03 16:08:15,189: publisherUpdate[/rosout] -> http://127.0.0.1:39587/ ['http://127.0.0.1:38453/']
[rosmaster.master][INFO] 2025-10-03 16:08:15,206: publisherUpdate[/rosout] -> http://127.0.0.1:39587/ ['http://127.0.0.1:38453/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 16:08:15,483: +PUB [/clock] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,484: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,484: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,484: +SERVICE [/gazebo/delete_model] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,485: +SERVICE [/gazebo/delete_light] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,485: +SERVICE [/gazebo/get_model_properties] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,485: +SERVICE [/gazebo/get_model_state] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,485: +SERVICE [/gazebo/get_world_properties] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,486: +SERVICE [/gazebo/get_joint_properties] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,486: +SERVICE [/gazebo/get_link_properties] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,486: +SERVICE [/gazebo/get_link_state] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,486: +SERVICE [/gazebo/get_light_properties] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,486: +SERVICE [/gazebo/set_light_properties] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,487: +SERVICE [/gazebo/get_physics_properties] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,487: +PUB [/gazebo/link_states] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,487: +PUB [/gazebo/model_states] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,487: +SERVICE [/gazebo/set_link_properties] /gazebo http://127.0.0.1:38453/
[rosmaster.master][INFO] 2025-10-03 16:08:15,487: +SERVICE [/gazebo/set_physics_properties] /gazebo http://127.0.0.1:38453/
