[rosmaster.main][INFO] 2025-10-03 17:05:50,954: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 17:05:50,954: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 17:05:50,954: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 17:05:50,954: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 17:05:50,954: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 17:05:50,955: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 17:05:50,984: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:50,985: +PARAM [/roslaunch/uris/host_127_0_0_1__39001] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,081: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:38639/
[rosmaster.master][INFO] 2025-10-03 17:05:51,086: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:38639/
[rosmaster.master][INFO] 2025-10-03 17:05:51,094: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,094: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,094: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,094: +PARAM [/pal_robot_info/type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,094: +PARAM [/pal_robot_info/end_effector] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,094: +PUB [/rosout_agg] /rosout http://127.0.0.1:38639/
[rosmaster.master][INFO] 2025-10-03 17:05:51,094: +PARAM [/pal_robot_info/ft_sensor] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,094: +PARAM [/pal_robot_info/laser_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,095: +PARAM [/pal_robot_info/camera_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,095: +PARAM [/pal_robot_info/base_type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,095: +PARAM [/pal_robot_info/arm] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,095: +PARAM [/gains/suspension_left_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,095: +PARAM [/gains/suspension_left_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +SUB [/rosout] /rosout http://127.0.0.1:38639/
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/suspension_left_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/suspension_left_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/suspension_right_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/suspension_right_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/suspension_right_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/suspension_right_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/torso_lift_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/torso_lift_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/torso_lift_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/torso_lift_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/head_1_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/head_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/head_1_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/head_1_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/head_2_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/head_2_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/head_2_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/head_2_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/xtion_frame_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/xtion_frame_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,096: +PARAM [/gains/xtion_frame_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/xtion_frame_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_1_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_1_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_1_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_1_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_2_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_2_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_2_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_2_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_2_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_3_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_3_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_3_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_3_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_3_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_4_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_4_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_4_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_4_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_4_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_5_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_5_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_5_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_5_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_5_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_6_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,097: +PARAM [/gains/arm_6_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/arm_6_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/arm_6_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/arm_6_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/arm_7_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/arm_7_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/arm_7_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/arm_7_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/arm_7_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_index_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_index_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_index_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_index_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_thumb_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_thumb_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_thumb_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_thumb_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_mrl_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_mrl_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_mrl_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_mrl_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_index_abd_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_index_abd_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_index_abd_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_index_abd_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_index_virtual_1_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,098: +PARAM [/gains/hand_index_virtual_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_virtual_1_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_virtual_1_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_virtual_2_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_virtual_2_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_virtual_2_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_virtual_2_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_virtual_3_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_virtual_3_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_virtual_3_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_virtual_3_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_flex_1_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_flex_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_flex_1_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_flex_1_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_flex_2_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_flex_2_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_flex_2_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_flex_2_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_flex_3_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_flex_3_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_flex_3_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_index_flex_3_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_little_abd_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_little_abd_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_little_abd_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_little_abd_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_little_virtual_1_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,099: +PARAM [/gains/hand_little_virtual_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,100: +PARAM [/gains/hand_little_virtual_1_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,100: +PARAM [/gains/hand_little_virtual_1_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,100: +PARAM [/gains/hand_little_virtual_2_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:05:51,100: +PARAM [/gains/hand_little_virtual_2_joint/d] by /roslaunch
