[rosmaster.main][INFO] 2025-10-12 23:43:16,328: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-12 23:43:16,328: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-12 23:43:16,329: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-12 23:43:16,329: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-12 23:43:16,330: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-12 23:43:16,330: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-12 23:43:16,387: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,389: +PARAM [/roslaunch/uris/host_127_0_0_1__33365] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,556: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:41007/
[rosmaster.master][INFO] 2025-10-12 23:43:16,565: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,566: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:41007/
[rosmaster.master][INFO] 2025-10-12 23:43:16,566: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,566: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,567: +PARAM [/pal_robot_info/type] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,567: +PARAM [/pal_robot_info/end_effector] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,567: +PARAM [/pal_robot_info/ft_sensor] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,567: +PARAM [/pal_robot_info/laser_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,567: +PARAM [/pal_robot_info/camera_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,568: +PARAM [/pal_robot_info/base_type] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,568: +PARAM [/pal_robot_info/arm] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,568: +PARAM [/gains/suspension_left_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,568: +PARAM [/gains/suspension_left_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,568: +PARAM [/gains/suspension_left_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,568: +PARAM [/gains/suspension_left_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,568: +PARAM [/gains/suspension_right_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,569: +PARAM [/gains/suspension_right_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,569: +PARAM [/gains/suspension_right_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,569: +PARAM [/gains/suspension_right_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,570: +PARAM [/gains/torso_lift_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,570: +PARAM [/gains/torso_lift_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,571: +PARAM [/gains/torso_lift_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,571: +PARAM [/gains/torso_lift_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,571: +PARAM [/gains/head_1_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,571: +PARAM [/gains/head_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,571: +PARAM [/gains/head_1_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,571: +PARAM [/gains/head_1_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,571: +PARAM [/gains/head_2_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,572: +SUB [/clock] /rosout http://127.0.0.1:41007/
[rosmaster.master][INFO] 2025-10-12 23:43:16,572: +PARAM [/gains/head_2_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,572: +PARAM [/gains/head_2_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,572: +PARAM [/gains/head_2_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,572: +PARAM [/gains/xtion_frame_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,573: +PARAM [/gains/xtion_frame_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,573: +PARAM [/gains/xtion_frame_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,573: +PARAM [/gains/xtion_frame_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,573: +PARAM [/gains/arm_1_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,573: +PARAM [/gains/arm_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,573: +PARAM [/gains/arm_1_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-12 23:43:16,573: +PARAM [/gains/arm_1_joint/i_clamp] by /roslaunch
