[rosmaster.main][INFO] 2025-10-03 17:20:17,544: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 17:20:17,544: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 17:20:17,544: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 17:20:17,544: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 17:20:17,545: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 17:20:17,545: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 17:20:17,566: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:20:17,567: +PARAM [/roslaunch/uris/host_127_0_0_1__42289] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:20:17,625: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:33425/
[rosmaster.master][INFO] 2025-10-03 17:20:17,630: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:33425/
[rosmaster.master][INFO] 2025-10-03 17:20:17,637: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:20:17,637: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:20:17,638: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:20:17,638: +PARAM [/pal_robot_info/type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:20:17,638: +PARAM [/pal_robot_info/end_effector] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:20:17,638: +PARAM [/pal_robot_info/ft_sensor] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:20:17,638: +PARAM [/pal_robot_info/laser_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:20:17,638: +PUB [/rosout_agg] /rosout http://127.0.0.1:33425/
[rosmaster.master][INFO] 2025-10-03 17:20:17,638: +PARAM [/pal_robot_info/camera_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:20:17,638: +PARAM [/pal_robot_info/base_type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:20:17,638: +PARAM [/pal_robot_info/arm] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:20:17,639: +PARAM [/gains/suspension_left_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:20:17,639: +PARAM [/gains/suspension_left_joint/d] by /roslaunch
