[rosmaster.main][INFO] 2025-10-17 15:52:22,203: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-17 15:52:22,204: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-17 15:52:22,204: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-17 15:52:22,204: Started XML-RPC server [http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-17 15:52:22,205: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-17 15:52:22,205: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-17 15:52:22,228: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,230: +PARAM [/roslaunch/uris/host_127_0_0_1__32869] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,332: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:44655/
[rosmaster.master][INFO] 2025-10-17 15:52:22,332: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:44655/
[rosmaster.master][INFO] 2025-10-17 15:52:22,334: +PUB [/rosout_agg] /rosout http://127.0.0.1:44655/
[rosmaster.master][INFO] 2025-10-17 15:52:22,363: +SUB [/rosout] /rosout http://127.0.0.1:44655/
[rosmaster.master][INFO] 2025-10-17 15:52:22,371: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,371: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,371: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,371: +PARAM [/pal_robot_info/type] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,371: +PARAM [/pal_robot_info/end_effector] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,371: +PARAM [/pal_robot_info/ft_sensor] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,371: +PARAM [/pal_robot_info/laser_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,371: +PARAM [/pal_robot_info/camera_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,371: +PARAM [/pal_robot_info/base_type] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,371: +PARAM [/pal_robot_info/arm] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,372: +PARAM [/gains/suspension_left_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,372: +PARAM [/gains/suspension_left_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,372: +PARAM [/gains/suspension_left_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,372: +PARAM [/gains/suspension_left_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,372: +PARAM [/gains/suspension_right_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,372: +PARAM [/gains/suspension_right_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,372: +PARAM [/gains/suspension_right_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,372: +PARAM [/gains/suspension_right_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,372: +PARAM [/gains/torso_lift_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,372: +PARAM [/gains/torso_lift_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,372: +PARAM [/gains/torso_lift_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,372: +PARAM [/gains/torso_lift_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,372: +PARAM [/gains/head_1_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/head_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/head_1_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/head_1_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/head_2_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/head_2_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/head_2_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/head_2_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/xtion_frame_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/xtion_frame_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/xtion_frame_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/xtion_frame_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/arm_1_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/arm_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/arm_1_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,373: +PARAM [/gains/arm_1_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,374: +PARAM [/gains/arm_1_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,374: +PARAM [/gains/arm_2_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:52:22,374: +PARAM [/gains/arm_2_joint/d] by /roslaunch
