[rosmaster.main][INFO] 2025-10-03 16:37:42,018: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 16:37:42,018: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 16:37:42,019: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 16:37:42,019: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 16:37:42,019: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 16:37:42,019: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 16:37:42,043: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:37:42,044: +PARAM [/roslaunch/uris/host_127_0_0_1__42659] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:37:42,087: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:37:42,087: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:37:42,087: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:37:42,098: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:35673/
[rosmaster.master][INFO] 2025-10-03 16:37:42,098: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:35673/
[rosmaster.master][INFO] 2025-10-03 16:37:42,100: +SUB [/clock] /rosout http://127.0.0.1:35673/
[rosmaster.master][INFO] 2025-10-03 16:37:42,100: +PUB [/rosout_agg] /rosout http://127.0.0.1:35673/
[rosmaster.master][INFO] 2025-10-03 16:37:42,101: +SUB [/rosout] /rosout http://127.0.0.1:35673/
[rosmaster.master][INFO] 2025-10-03 16:37:42,506: +PUB [/rosout] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,506: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,507: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,508: +SUB [/clock] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,510: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2025-10-03 16:37:42,519: publisherUpdate[/rosout] -> http://127.0.0.1:35673/ ['http://127.0.0.1:42547/']
[rosmaster.master][INFO] 2025-10-03 16:37:42,535: publisherUpdate[/rosout] -> http://127.0.0.1:35673/ ['http://127.0.0.1:42547/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 16:37:42,814: +PUB [/clock] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,815: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,815: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,815: +SERVICE [/gazebo/delete_model] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,816: +SERVICE [/gazebo/delete_light] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,816: +SERVICE [/gazebo/get_model_properties] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,816: +SERVICE [/gazebo/get_model_state] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,816: +SERVICE [/gazebo/get_world_properties] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,817: +SERVICE [/gazebo/get_joint_properties] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,817: +SERVICE [/gazebo/get_link_properties] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,817: +SERVICE [/gazebo/get_link_state] /gazebo http://127.0.0.1:42547/
[rosmaster.master][INFO] 2025-10-03 16:37:42,817: +SERVICE [/gazebo/get_light_properties] /gazebo http://127.0.0.1:42547/
