[rosmaster.main][INFO] 2025-10-03 16:02:40,975: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 16:02:40,975: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 16:02:40,976: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 16:02:40,976: Started XML-RPC server [http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 16:02:40,976: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 16:02:40,976: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 16:02:41,002: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:02:41,004: +PARAM [/roslaunch/uris/host_127_0_0_1__38297] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:02:41,081: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:02:41,081: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:02:41,081: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:02:41,092: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:43241/
[rosmaster.master][INFO] 2025-10-03 16:02:41,092: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:43241/
[rosmaster.master][INFO] 2025-10-03 16:02:41,094: +SUB [/clock] /rosout http://127.0.0.1:43241/
[rosmaster.master][INFO] 2025-10-03 16:02:41,094: +PUB [/rosout_agg] /rosout http://127.0.0.1:43241/
[rosmaster.master][INFO] 2025-10-03 16:02:41,095: +SUB [/rosout] /rosout http://127.0.0.1:43241/
[rosmaster.master][INFO] 2025-10-03 16:02:41,486: +PUB [/rosout] /gazebo http://127.0.0.1:39631/
[rosmaster.master][INFO] 2025-10-03 16:02:41,486: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:39631/
[rosmaster.master][INFO] 2025-10-03 16:02:41,486: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:39631/
[rosmaster.master][INFO] 2025-10-03 16:02:41,488: +SUB [/clock] /gazebo http://127.0.0.1:39631/
[rosmaster.master][INFO] 2025-10-03 16:02:41,489: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2025-10-03 16:02:41,576: publisherUpdate[/rosout] -> http://127.0.0.1:43241/ ['http://127.0.0.1:39631/']
[rosmaster.master][INFO] 2025-10-03 16:02:41,592: publisherUpdate[/rosout] -> http://127.0.0.1:43241/ ['http://127.0.0.1:39631/']: sec=0.02, result=[1, '', 0]
