[rosmaster.main][INFO] 2025-10-03 15:20:03,266: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 15:20:03,266: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 15:20:03,266: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 15:20:03,266: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 15:20:03,267: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 15:20:03,267: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 15:20:03,282: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:20:03,283: +PARAM [/roslaunch/uris/host_127_0_0_1__43841] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:20:03,326: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:20:03,326: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:20:03,326: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:20:03,339: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:46551/
[rosmaster.master][INFO] 2025-10-03 15:20:03,339: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:46551/
[rosmaster.master][INFO] 2025-10-03 15:20:03,341: +SUB [/clock] /rosout http://127.0.0.1:46551/
[rosmaster.master][INFO] 2025-10-03 15:20:03,341: +PUB [/rosout_agg] /rosout http://127.0.0.1:46551/
[rosmaster.master][INFO] 2025-10-03 15:20:03,343: +SUB [/rosout] /rosout http://127.0.0.1:46551/
[rosmaster.master][INFO] 2025-10-03 15:20:03,765: +PUB [/rosout] /gazebo http://127.0.0.1:36089/
[rosmaster.master][INFO] 2025-10-03 15:20:03,766: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:36089/
[rosmaster.master][INFO] 2025-10-03 15:20:03,766: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:36089/
[rosmaster.master][INFO] 2025-10-03 15:20:03,767: publisherUpdate[/rosout] -> http://127.0.0.1:46551/ ['http://127.0.0.1:36089/']
[rosmaster.master][INFO] 2025-10-03 15:20:03,769: +SUB [/clock] /gazebo http://127.0.0.1:36089/
