[rosmaster.main][INFO] 2025-10-03 17:14:36,988: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 17:14:36,988: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 17:14:36,989: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 17:14:36,989: Started XML-RPC server [http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 17:14:36,989: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 17:14:36,989: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 17:14:37,013: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,013: +PARAM [/roslaunch/uris/host_127_0_0_1__41997] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,072: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:41757/
[rosmaster.master][INFO] 2025-10-03 17:14:37,078: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:41757/
[rosmaster.master][INFO] 2025-10-03 17:14:37,085: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,085: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,085: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,085: +PARAM [/pal_robot_info/type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,085: +PARAM [/pal_robot_info/end_effector] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,085: +PARAM [/pal_robot_info/ft_sensor] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,085: +PUB [/rosout_agg] /rosout http://127.0.0.1:41757/
[rosmaster.master][INFO] 2025-10-03 17:14:37,085: +PARAM [/pal_robot_info/laser_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,085: +PARAM [/pal_robot_info/camera_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,086: +PARAM [/pal_robot_info/base_type] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,086: +PARAM [/pal_robot_info/arm] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,086: +PARAM [/gains/suspension_left_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,086: +PARAM [/gains/suspension_left_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,086: +PARAM [/gains/suspension_left_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,087: +SUB [/rosout] /rosout http://127.0.0.1:41757/
[rosmaster.master][INFO] 2025-10-03 17:14:37,087: +PARAM [/gains/suspension_left_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,087: +PARAM [/gains/suspension_right_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 17:14:37,087: +PARAM [/gains/suspension_right_joint/d] by /roslaunch
