[rosmaster.main][INFO] 2025-10-03 14:59:37,833: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 14:59:37,833: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 14:59:37,834: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 14:59:37,834: Started XML-RPC server [http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 14:59:37,834: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 14:59:37,834: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 14:59:37,861: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 14:59:37,863: +PARAM [/roslaunch/uris/host_127_0_0_1__42521] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 14:59:37,937: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 14:59:37,937: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 14:59:37,937: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 14:59:37,948: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:38577/
[rosmaster.master][INFO] 2025-10-03 14:59:37,948: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:38577/
[rosmaster.master][INFO] 2025-10-03 14:59:37,950: +SUB [/clock] /rosout http://127.0.0.1:38577/
[rosmaster.master][INFO] 2025-10-03 14:59:37,950: +PUB [/rosout_agg] /rosout http://127.0.0.1:38577/
[rosmaster.master][INFO] 2025-10-03 14:59:37,951: +SUB [/rosout] /rosout http://127.0.0.1:38577/
[rosmaster.master][INFO] 2025-10-03 14:59:38,353: +PUB [/rosout] /gazebo http://127.0.0.1:33711/
[rosmaster.master][INFO] 2025-10-03 14:59:38,353: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:33711/
[rosmaster.master][INFO] 2025-10-03 14:59:38,353: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:33711/
