[rosmaster.main][INFO] 2025-10-03 16:04:08,257: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 16:04:08,257: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 16:04:08,257: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 16:04:08,257: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 16:04:08,258: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 16:04:08,258: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 16:04:08,277: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:04:08,277: +PARAM [/roslaunch/uris/host_127_0_0_1__33903] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:04:08,320: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:04:08,321: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:04:08,321: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:04:08,331: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:42461/
[rosmaster.master][INFO] 2025-10-03 16:04:08,331: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:42461/
[rosmaster.master][INFO] 2025-10-03 16:04:08,333: +SUB [/clock] /rosout http://127.0.0.1:42461/
[rosmaster.master][INFO] 2025-10-03 16:04:08,333: +PUB [/rosout_agg] /rosout http://127.0.0.1:42461/
[rosmaster.master][INFO] 2025-10-03 16:04:08,334: +SUB [/rosout] /rosout http://127.0.0.1:42461/
[rosmaster.master][INFO] 2025-10-03 16:04:08,732: +PUB [/rosout] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:08,732: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:08,733: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:08,734: +SUB [/clock] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:08,736: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2025-10-03 16:04:08,758: publisherUpdate[/rosout] -> http://127.0.0.1:42461/ ['http://127.0.0.1:34129/']
[rosmaster.master][INFO] 2025-10-03 16:04:08,774: publisherUpdate[/rosout] -> http://127.0.0.1:42461/ ['http://127.0.0.1:34129/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 16:04:09,049: +PUB [/clock] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,050: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,050: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,051: +SERVICE [/gazebo/delete_model] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,051: +SERVICE [/gazebo/delete_light] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,051: +SERVICE [/gazebo/get_model_properties] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,051: +SERVICE [/gazebo/get_model_state] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,052: +SERVICE [/gazebo/get_world_properties] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,052: +SERVICE [/gazebo/get_joint_properties] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,052: +SERVICE [/gazebo/get_link_properties] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,052: +SERVICE [/gazebo/get_link_state] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,053: +SERVICE [/gazebo/get_light_properties] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,053: +SERVICE [/gazebo/set_light_properties] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,053: +SERVICE [/gazebo/get_physics_properties] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,053: +PUB [/gazebo/link_states] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,054: +PUB [/gazebo/model_states] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,054: +SERVICE [/gazebo/set_link_properties] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,054: +SERVICE [/gazebo/set_physics_properties] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,054: +SERVICE [/gazebo/set_model_state] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,055: +SERVICE [/gazebo/set_model_configuration] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,055: +SERVICE [/gazebo/set_joint_properties] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,055: +SERVICE [/gazebo/set_link_state] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,057: +SUB [/gazebo/set_link_state] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,058: +SUB [/gazebo/set_model_state] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,058: +SERVICE [/gazebo/pause_physics] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,058: publisherUpdate[/clock] -> http://127.0.0.1:42461/ ['http://127.0.0.1:34129/']
[rosmaster.master][INFO] 2025-10-03 16:04:09,059: +SERVICE [/gazebo/unpause_physics] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,059: publisherUpdate[/clock] -> http://127.0.0.1:34129/ ['http://127.0.0.1:34129/']
[rosmaster.master][INFO] 2025-10-03 16:04:09,059: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,060: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,060: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,060: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,060: +SERVICE [/gazebo/reset_simulation] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,061: +SERVICE [/gazebo/reset_world] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,072: +SERVICE [/gazebo/set_parameters] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,073: +PUB [/gazebo/parameter_descriptions] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,073: +PUB [/gazebo/parameter_updates] /gazebo http://127.0.0.1:34129/
[rosmaster.master][INFO] 2025-10-03 16:04:09,074: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-10-03 16:04:09,076: publisherUpdate[/clock] -> http://127.0.0.1:42461/ ['http://127.0.0.1:34129/']: sec=0.02, result=[1, '', 0]
