[rosmaster.main][INFO] 2025-10-03 16:54:22,883: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 16:54:22,884: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 16:54:22,884: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 16:54:22,884: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 16:54:22,884: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 16:54:22,884: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 16:54:22,907: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:54:22,908: +PARAM [/roslaunch/uris/host_127_0_0_1__38079] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:54:22,950: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:54:22,951: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:54:22,951: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 16:54:22,961: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:41597/
[rosmaster.master][INFO] 2025-10-03 16:54:22,961: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:41597/
[rosmaster.master][INFO] 2025-10-03 16:54:22,962: +SUB [/clock] /rosout http://127.0.0.1:41597/
[rosmaster.master][INFO] 2025-10-03 16:54:22,963: +PUB [/rosout_agg] /rosout http://127.0.0.1:41597/
[rosmaster.master][INFO] 2025-10-03 16:54:22,964: +SUB [/rosout] /rosout http://127.0.0.1:41597/
[rosmaster.master][INFO] 2025-10-03 16:54:23,353: +PUB [/rosout] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,354: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,354: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,356: +SUB [/clock] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,357: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2025-10-03 16:54:23,384: publisherUpdate[/rosout] -> http://127.0.0.1:41597/ ['http://127.0.0.1:37617/']
[rosmaster.master][INFO] 2025-10-03 16:54:23,401: publisherUpdate[/rosout] -> http://127.0.0.1:41597/ ['http://127.0.0.1:37617/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 16:54:23,671: +PUB [/clock] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,672: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,672: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,672: +SERVICE [/gazebo/delete_model] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,673: +SERVICE [/gazebo/delete_light] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,673: +SERVICE [/gazebo/get_model_properties] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,673: +SERVICE [/gazebo/get_model_state] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,673: +SERVICE [/gazebo/get_world_properties] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,674: +SERVICE [/gazebo/get_joint_properties] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,674: +SERVICE [/gazebo/get_link_properties] /gazebo http://127.0.0.1:37617/
[rosmaster.master][INFO] 2025-10-03 16:54:23,674: +SERVICE [/gazebo/get_link_state] /gazebo http://127.0.0.1:37617/
