[rosmaster.main][INFO] 2025-10-03 15:35:49,475: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-03 15:35:49,475: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-03 15:35:49,476: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-03 15:35:49,476: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-03 15:35:49,476: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-03 15:35:49,476: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-03 15:35:49,502: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:35:49,504: +PARAM [/roslaunch/uris/host_127_0_0_1__46247] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:35:49,556: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:35:49,556: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:35:49,556: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-03 15:35:49,567: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:42433/
[rosmaster.master][INFO] 2025-10-03 15:35:49,567: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:42433/
[rosmaster.master][INFO] 2025-10-03 15:35:49,569: +SUB [/clock] /rosout http://127.0.0.1:42433/
[rosmaster.master][INFO] 2025-10-03 15:35:49,569: +PUB [/rosout_agg] /rosout http://127.0.0.1:42433/
[rosmaster.master][INFO] 2025-10-03 15:35:49,570: +SUB [/rosout] /rosout http://127.0.0.1:42433/
[rosmaster.master][INFO] 2025-10-03 15:35:49,968: +PUB [/rosout] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:49,968: +SERVICE [/gazebo/get_loggers] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:49,968: +SERVICE [/gazebo/set_logger_level] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:49,970: +SUB [/clock] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:49,972: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2025-10-03 15:35:49,976: publisherUpdate[/rosout] -> http://127.0.0.1:42433/ ['http://127.0.0.1:34253/']
[rosmaster.master][INFO] 2025-10-03 15:35:49,993: publisherUpdate[/rosout] -> http://127.0.0.1:42433/ ['http://127.0.0.1:34253/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-10-03 15:35:50,288: +PUB [/clock] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,288: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,289: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,289: +SERVICE [/gazebo/delete_model] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,289: +SERVICE [/gazebo/delete_light] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,289: +SERVICE [/gazebo/get_model_properties] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,290: +SERVICE [/gazebo/get_model_state] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,290: +SERVICE [/gazebo/get_world_properties] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,290: +SERVICE [/gazebo/get_joint_properties] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,291: +SERVICE [/gazebo/get_link_properties] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,291: +SERVICE [/gazebo/get_link_state] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,291: +SERVICE [/gazebo/get_light_properties] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,291: +SERVICE [/gazebo/set_light_properties] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,292: +SERVICE [/gazebo/get_physics_properties] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,292: +PUB [/gazebo/link_states] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,292: +PUB [/gazebo/model_states] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,293: +SERVICE [/gazebo/set_link_properties] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,293: +SERVICE [/gazebo/set_physics_properties] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,293: +SERVICE [/gazebo/set_model_state] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,293: +SERVICE [/gazebo/set_model_configuration] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,293: +SERVICE [/gazebo/set_joint_properties] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,294: +SERVICE [/gazebo/set_link_state] /gazebo http://127.0.0.1:34253/
[rosmaster.master][INFO] 2025-10-03 15:35:50,294: publisherUpdate[/clock] -> http://127.0.0.1:42433/ ['http://127.0.0.1:34253/']
