[rosmaster.main][INFO] 2025-10-17 13:17:42,022: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-17 13:17:42,022: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-17 13:17:42,023: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-17 13:17:42,023: Started XML-RPC server [http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-17 13:17:42,023: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-17 13:17:42,023: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-17 13:17:42,036: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,038: +PARAM [/roslaunch/uris/host_127_0_0_1__42813] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,159: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,159: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,159: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,159: +PARAM [/pal_robot_info/type] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,159: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:32857/
[rosmaster.master][INFO] 2025-10-17 13:17:42,159: +PARAM [/pal_robot_info/end_effector] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,160: +PARAM [/pal_robot_info/ft_sensor] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,160: +PARAM [/pal_robot_info/laser_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,160: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:32857/
[rosmaster.master][INFO] 2025-10-17 13:17:42,160: +PARAM [/pal_robot_info/camera_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,160: +PARAM [/pal_robot_info/base_type] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,160: +PARAM [/pal_robot_info/arm] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,161: +PARAM [/gains/suspension_left_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,161: +PARAM [/gains/suspension_left_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,161: +PARAM [/gains/suspension_left_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,161: +PARAM [/gains/suspension_left_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,162: +PARAM [/gains/suspension_right_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,162: +PARAM [/gains/suspension_right_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,162: +PARAM [/gains/suspension_right_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,163: +PARAM [/gains/suspension_right_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,163: +PARAM [/gains/torso_lift_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,163: +PARAM [/gains/torso_lift_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,163: +SUB [/clock] /rosout http://127.0.0.1:32857/
[rosmaster.master][INFO] 2025-10-17 13:17:42,163: +PARAM [/gains/torso_lift_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,163: +PARAM [/gains/torso_lift_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,163: +PARAM [/gains/head_1_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,163: +PARAM [/gains/head_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,164: +PUB [/rosout_agg] /rosout http://127.0.0.1:32857/
[rosmaster.master][INFO] 2025-10-17 13:17:42,164: +PARAM [/gains/head_1_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,164: +PARAM [/gains/head_1_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,164: +PARAM [/gains/head_2_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,165: +PARAM [/gains/head_2_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,165: +PARAM [/gains/head_2_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,165: +PARAM [/gains/head_2_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,166: +PARAM [/gains/xtion_frame_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,166: +SUB [/rosout] /rosout http://127.0.0.1:32857/
[rosmaster.master][INFO] 2025-10-17 13:17:42,166: +PARAM [/gains/xtion_frame_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,166: +PARAM [/gains/xtion_frame_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,166: +PARAM [/gains/xtion_frame_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,166: +PARAM [/gains/arm_1_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,167: +PARAM [/gains/arm_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,167: +PARAM [/gains/arm_1_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,167: +PARAM [/gains/arm_1_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,167: +PARAM [/gains/arm_1_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,167: +PARAM [/gains/arm_2_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,167: +PARAM [/gains/arm_2_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,167: +PARAM [/gains/arm_2_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,167: +PARAM [/gains/arm_2_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,167: +PARAM [/gains/arm_2_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,167: +PARAM [/gains/arm_3_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,167: +PARAM [/gains/arm_3_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,168: +PARAM [/gains/arm_3_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,168: +PARAM [/gains/arm_3_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,168: +PARAM [/gains/arm_3_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,168: +PARAM [/gains/arm_4_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,168: +PARAM [/gains/arm_4_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,168: +PARAM [/gains/arm_4_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,168: +PARAM [/gains/arm_4_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,168: +PARAM [/gains/arm_4_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,168: +PARAM [/gains/arm_5_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,168: +PARAM [/gains/arm_5_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,169: +PARAM [/gains/arm_5_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,169: +PARAM [/gains/arm_5_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,169: +PARAM [/gains/arm_5_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,169: +PARAM [/gains/arm_6_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,169: +PARAM [/gains/arm_6_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,169: +PARAM [/gains/arm_6_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,169: +PARAM [/gains/arm_6_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,169: +PARAM [/gains/arm_6_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,169: +PARAM [/gains/arm_7_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,169: +PARAM [/gains/arm_7_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,169: +PARAM [/gains/arm_7_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,169: +PARAM [/gains/arm_7_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,170: +PARAM [/gains/arm_7_joint/torque_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,170: +PARAM [/gains/hand_index_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,170: +PARAM [/gains/hand_index_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,170: +PARAM [/gains/hand_index_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,170: +PARAM [/gains/hand_index_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,170: +PARAM [/gains/hand_thumb_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,170: +PARAM [/gains/hand_thumb_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,170: +PARAM [/gains/hand_thumb_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,170: +PARAM [/gains/hand_thumb_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,170: +PARAM [/gains/hand_mrl_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,170: +PARAM [/gains/hand_mrl_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,171: +PARAM [/gains/hand_mrl_joint/i] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,171: +PARAM [/gains/hand_mrl_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,171: +PARAM [/gains/hand_index_abd_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,171: +PARAM [/gains/hand_index_abd_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 13:17:42,171: +PARAM [/gains/hand_index_abd_joint/i] by /roslaunch
