[rosmaster.main][INFO] 2025-10-17 15:34:09,565: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-10-17 15:34:09,565: Starting ROS Master Node
[xmlrpc][INFO] 2025-10-17 15:34:09,565: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-10-17 15:34:09,566: Started XML-RPC server [http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2025-10-17 15:34:09,566: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[xmlrpc][INFO] 2025-10-17 15:34:09,566: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-10-17 15:34:09,579: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,581: +PARAM [/roslaunch/uris/host_127_0_0_1__39833] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,677: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:32897/
[rosmaster.master][INFO] 2025-10-17 15:34:09,692: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:32897/
[rosmaster.master][INFO] 2025-10-17 15:34:09,707: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,708: +PUB [/rosout_agg] /rosout http://127.0.0.1:32897/
[rosmaster.master][INFO] 2025-10-17 15:34:09,708: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,708: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,708: +PARAM [/pal_robot_info/type] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,708: +PARAM [/pal_robot_info/end_effector] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,708: +PARAM [/pal_robot_info/ft_sensor] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,709: +PARAM [/pal_robot_info/laser_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,709: +PARAM [/pal_robot_info/camera_model] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,710: +PARAM [/pal_robot_info/base_type] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,710: +PARAM [/pal_robot_info/arm] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,710: +PARAM [/gains/suspension_left_joint/p] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,711: +SUB [/rosout] /rosout http://127.0.0.1:32897/
[rosmaster.master][INFO] 2025-10-17 15:34:09,711: +PARAM [/gains/suspension_left_joint/d] by /roslaunch
[rosmaster.master][INFO] 2025-10-17 15:34:09,711: +PARAM [/gains/suspension_left_joint/i] by /roslaunch
